Vivado Simulator 2015.2
Time resolution is 1 ps
Instruction[pc]=[opcode,reg,reg,reg,funct]

DataMemory[addr]=[read data, write data]

Signals C-R-Sw-Disp[clock,reset,switch0,display]
* Recall data memory addr = ALU output

Instr[    x]=[xxx,xxx,xxx,xxx,xxxx] DataMem[    x]=[    0,    x] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[    x]=[xxx,xxx,xxx,xxx,xxxx] DataMem[    x]=[    0,    x] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[    x]=[xxx,xxx,xxx,xxx,xxxx] DataMem[    x]=[    0,    x] C-R-Sw0-Dsp[0,1,1,xxxxxxx]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[1,1,1,xxxxxxx]
Instr[    0]=[110,111,000,011,1011] DataMem[65520]=[    0,    0] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    x] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[    2]=[011,000,000,001,1101] DataMem[65520]=[    1,    x] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[    4]=[111,000,000,110,1101] DataMem[    1]=[    0,    x] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[    4]=[111,000,000,110,1101] DataMem[    1]=[    0,    x] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[    6]=[101,000,001,100,0101] DataMem[    1]=[    0,    1] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[    6]=[101,000,001,100,0101] DataMem[    1]=[    0,    1] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
Instr[    8]=[110,011,000,011,1100] DataMem[   48]=[    0,65520] C-R-Sw0-Dsp[1,0,1,xxxxxxx]
Instr[    8]=[110,011,000,011,1100] DataMem[   48]=[    0,65520] C-R-Sw0-Dsp[0,0,1,xxxxxxx]
